Transaction_ID,Date,Customer_Name,Product,Total_Items,Total_Cost,Payment_Method,City,Store_Type,Discount_Applied,Customer_Category,Season,Promotion
1000000000,2022-01-21 06:27:29,Stacey Price,"['Ketchup', 'Shaving Cream', 'Light Bulbs']",3,71.65,Mobile Payment,Los Angeles,Warehouse Club,TRUE,Homemaker,Winter,None
1000000001,2023-03-01 13:01:21,Michelle Carlson,"['Ice Cream', 'Milk', 'Olive Oil', 'Bread', 'Potatoes']",2,25.93,Cash,San Francisco,Specialty Store,TRUE,Professional,Fall,BOGO (Buy One Get One)
1000000002,2024-03-21 15:37:04,Lisa Graves,['Spinach'],6,41.49,Credit Card,Houston,Department Store,TRUE,Professional,Winter,None
1000000003,2020-10-31 09:59:47,Mrs. Patricia May,"['Tissues', 'Mustard']",1,39.34,Mobile Payment,Chicago,Pharmacy,TRUE,Homemaker,Spring,None
1000000004,2020-12-10 00:59:59,Susan Mitchell,['Dish Soap'],10,16.42,Debit Card,Houston,Specialty Store,FALSE,Young Adult,Winter,Discount on Selected Items
1000000005,2021-10-07 12:37:26,Joshua Frazier,"['Toothpaste', 'Chicken']",3,72.24,Cash,Houston,Supermarket,TRUE,Retiree,Spring,Discount on Selected Items
1000000006,2023-01-08 10:40:03,Victoria Garrett,"['Honey', 'BBQ Sauce', 'Soda', 'Olive Oil', 'Garden Hose']",4,5.28,Cash,Boston,Specialty Store,FALSE,Student,Summer,Discount on Selected Items
1000000007,2020-09-03 12:39:59,Sydney Waller,"['Syrup', 'Trash Cans', 'Pancake Mix', 'Water', 'Mayonnaise']",5,21.77,Debit Card,Chicago,Specialty Store,FALSE,Young Adult,Winter,Discount on Selected Items
1000000008,2021-04-05 06:32:18,Kimberly Morgan,['Insect Repellent'],4,55.25,Mobile Payment,Los Angeles,Warehouse Club,FALSE,Homemaker,Fall,None
1000000009,2021-07-08 10:08:59,Lori Conway,"['Soap', 'Baby Wipes', 'Soda']",7,31.21,Mobile Payment,Boston,Convenience Store,TRUE,Young Adult,Winter,None
1000000010,2020-03-18 18:58:18,Randall Roberts,"['Extension Cords', 'Soda', 'Water', 'Garden Hose', 'Cleaning Spray']",8,91.59,Debit Card,Boston,Department Store,TRUE,Middle-Aged,Fall,BOGO (Buy One Get One)
1000000011,2023-03-30 19:26:41,Jeremiah White,"['Tea', 'Paper Towels', 'Spinach']",7,31.88,Mobile Payment,New York,Specialty Store,FALSE,Young Adult,Fall,Discount on Selected Items
1000000012,2023-05-27 15:52:59,Sheila Mcgee,"['Salmon', 'Shaving Cream']",9,39.75,Debit Card,New York,Pharmacy,FALSE,Student,Summer,Discount on Selected Items
1000000013,2023-04-02 09:24:11,Allen Miles,"['Trash Bags', 'Apple', 'Mop', 'Hair Gel']",7,17.51,Mobile Payment,Seattle,Warehouse Club,FALSE,Retiree,Winter,BOGO (Buy One Get One)
1000000014,2020-04-09 04:31:05,Mark Howard,"['Razors', 'Laundry Detergent', 'Beef']",1,33.64,Credit Card,San Francisco,Warehouse Club,TRUE,Retiree,Spring,None
1000000015,2021-01-01 04:29:07,Jesse Henderson,"['Cereal', 'Vinegar', 'Bath Towels']",7,29.57,Mobile Payment,San Francisco,Convenience Store,FALSE,Retiree,Winter,BOGO (Buy One Get One)
1000000016,2021-10-15 13:24:31,Eric Wall,"['Air Freshener', 'Feminine Hygiene Products']",5,99.7,Mobile Payment,Miami,Specialty Store,TRUE,Homemaker,Spring,None
1000000017,2021-09-16 09:28:28,Vanessa Peck,"['Power Strips', 'Honey', 'Ketchup', 'Tea', 'Shampoo']",8,15.62,Credit Card,San Francisco,Department Store,FALSE,Senior Citizen,Fall,None
1000000018,2022-07-18 11:33:28,Dominique Stout,"['Mustard', 'Dustpan']",3,98.28,Mobile Payment,New York,Warehouse Club,FALSE,Professional,Fall,BOGO (Buy One Get One)
1000000019,2021-01-31 07:52:18,Charles Brooks,['Coffee'],7,96.77,Debit Card,Chicago,Department Store,TRUE,Homemaker,Winter,Discount on Selected Items
1000000020,2021-10-31 07:46:22,Angela Jones,"['Pancake Mix', 'Vacuum Cleaner']",7,83.86,Cash,Houston,Pharmacy,FALSE,Teenager,Winter,Discount on Selected Items
1000000021,2022-12-30 20:03:19,John Roberts,"['Coffee', 'Shaving Cream']",1,39.93,Credit Card,Miami,Department Store,FALSE,Retiree,Summer,BOGO (Buy One Get One)
1000000022,2021-06-08 10:28:59,Nicole White,"['Shrimp', 'Iron', 'Cleaning Spray', 'Toilet Paper', 'Peanut Butter']",4,35.62,Mobile Payment,New York,Warehouse Club,TRUE,Retiree,Spring,BOGO (Buy One Get One)
1000000023,2020-01-03 23:24:18,Don Harris,"['Dishware', 'Pickles']",7,19.56,Cash,San Francisco,Department Store,FALSE,Retiree,Spring,BOGO (Buy One Get One)
1000000024,2023-02-27 16:46:56,Hannah Rowland,"['Sponges', 'Vacuum Cleaner', 'Iron']",4,24.03,Debit Card,Dallas,Pharmacy,FALSE,Student,Winter,None
1000000025,2020-02-14 13:19:10,Jessica Gonzalez,"['Broom', 'Cereal']",10,7.82,Credit Card,New York,Convenience Store,FALSE,Professional,Fall,BOGO (Buy One Get One)
